ID,名称,销售数量,Steam价格,最低售价,价格比例
36106,P250 | 翼击 (久经沙场),224,2.36,13,5.508474576271187
34402,沙漠之鹰 | 科林斯遗产 (崭新出厂),1388,1,4.77,4.77
968297,格洛克 18 型 | AXIA (久经沙场),81,58.71,338.5,5.765627661386476
38602,FN57（StatTrak™） | 霸意大名 (略有磨损),100,2.11,11.9,5.639810426540285
956625,格洛克 18 型（StatTrak™） | 崩络克-18 (崭新出厂),138,10.02,49.39,4.929141716566867
871624,USP 消音版（StatTrak™） | 黑莲花 (久经沙场),177,6.46,34.09,5.277089783281735
763283,格洛克 18 型（StatTrak™） | 锈蚀烈焰 (久经沙场),328,0.46,2.24,4.869565217391305
762199,双持贝瑞塔 | 双涡轮 (久经沙场),288,3.02,12.7,4.205298013245033
36106,P250 | 翼击 (久经沙场),224,2.36,13,5.508474576271187
34402,沙漠之鹰 | 科林斯遗产 (崭新出厂),1388,1,4.77,4.77
968297,格洛克 18 型 | AXIA (久经沙场),81,58.71,338.5,5.765627661386476
38602,FN57（StatTrak™） | 霸意大名 (略有磨损),100,2.11,11.9,5.639810426540285
956625,格洛克 18 型（StatTrak™） | 崩络克-18 (崭新出厂),138,10.02,49.39,4.929141716566867
921471,格洛克 18 型 | 圆影玉兔 (战痕累累),193,0.49,2.19,4.469387755102041
871063,格洛克 18 型 | 伽玛多普勒 (略有磨损),334,83.78,450,5.3712103127238
769245,沙漠之鹰 | 轻轨 (战痕累累),211,0.93,4.28,4.602150537634409
900592,格洛克 18 型（StatTrak™） | 冬季战术 (崭新出厂),113,2.49,12.6,5.0602409638554215
857582,R8 左轮手枪 | 废物王 (略有磨损),154,0.37,2.07,5.594594594594594
779217,沙漠之鹰 | 蓝色层压板 (久经沙场),1472,0.34,1.79,5.264705882352941
773423,P250 | X 射线 (崭新出厂),811,0.77,4.42,5.74025974025974
968275,USP 消音版（StatTrak™） | 27 (略有磨损),47,2.07,10.4,5.024154589371982
38352,CZ75（StatTrak™） | 聚合物 (久经沙场),109,0.46,1.88,4.08695652173913
35977,P2000 | 草皮 (略有磨损),132,0.5,2.02,4.04
34571,双持贝瑞塔 | 皇室伴侣 (略有磨损),253,1.67,7.59,4.544910179640719
921578,格洛克 18 型（StatTrak™） | 圆影玉兔 (崭新出厂),171,7.41,36.6,4.939271255060729
779217,沙漠之鹰 | 蓝色层压板 (久经沙场),1472,0.34,1.79,5.264705882352941
773423,P250 | X 射线 (崭新出厂),811,0.77,4.42,5.74025974025974
968275,USP 消音版（StatTrak™） | 27 (略有磨损),47,2.07,10.4,5.024154589371982
38352,CZ75（StatTrak™） | 聚合物 (久经沙场),109,0.46,1.88,4.08695652173913
35977,P2000 | 草皮 (略有磨损),132,0.5,2.02,4.04
34571,双持贝瑞塔 | 皇室伴侣 (略有磨损),253,1.67,7.59,4.544910179640719
921578,格洛克 18 型（StatTrak™） | 圆影玉兔 (崭新出厂),171,7.41,36.6,4.939271255060729
769425,FN57（StatTrak™） | 怒氓 (略有磨损),39,23.94,113,4.720133667502088
45468,USP 消音版（StatTrak™） | 脑洞大开 (崭新出厂),118,42.9,220.6,5.142191142191142
42198,USP 消音版 | 午夜行动 (略有磨损),566,0.77,4.14,5.376623376623376
39642,Tec-9（StatTrak™） | 燃料喷射器 (略有磨损),66,26.46,140.97,5.327664399092971
34801,FN57 | 霸意大名 (久经沙场),190,0.32,1.84,5.75
34399,沙漠之鹰 | 阴谋者 (崭新出厂),2446,13.53,68.5,5.062823355506283
34328,CZ75 | 战术高手 (久经沙场),491,0.65,3.59,5.523076923076923
956536,FN57 | 混合体 (久经沙场),569,1.2,6.82,5.683333333333334
900576,P250 | 迷人幻象 (略有磨损),351,6.99,36.99,5.291845493562231
956528,FN57 | 混合体 (崭新出厂),218,3.88,19.8,5.103092783505155
769174,沙漠之鹰 | 轻轨 (久经沙场),2024,0.99,4.68,4.727272727272727
857588,CZ75 | 短趾雕 (略有磨损),203,0.35,2.19,6.257142857142857
38480,双持贝瑞塔（StatTrak™） | 报应 (略有磨损),15,5.12,34.98,6.832031249999999
34571,双持贝瑞塔 | 皇室伴侣 (略有磨损),253,1.67,7.59,4.544910179640719
921578,格洛克 18 型（StatTrak™） | 圆影玉兔 (崭新出厂),171,7.41,36.6,4.939271255060729
769425,FN57（StatTrak™） | 怒氓 (略有磨损),39,23.94,113,4.720133667502088
45468,USP 消音版（StatTrak™） | 脑洞大开 (崭新出厂),118,42.9,220.6,5.142191142191142
